 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     1.00000E+09         1.00000E+05         1.80000E+02         1.00000E-05         1.86454E+04
     1.00000E+09         3.16228E+05         1.80000E+02         1.00000E-05         5.90653E+04
     1.00000E+09         1.00000E+06         1.80000E+02         1.00000E-05         1.87021E+05
     1.00000E+09         3.16228E+06         1.80000E+02         1.00000E-05         5.91906E+05
     1.00000E+09         1.00000E+07         1.80000E+02         1.00000E-05         1.87047E+06
     1.00000E+09         3.16228E+07         1.80000E+02         1.00000E-05         5.87552E+06
     1.00000E+09         1.00000E+08         1.80000E+02         1.00000E-05         1.80660E+07
     1.00000E+09         3.16228E+08         1.80000E+02         1.00000E-05         5.12649E+07
     1.00000E+09         1.00000E+09         1.80000E+02         1.00000E-05         1.05459E+08
     3.16228E+09         1.00000E+04         1.80000E+02         1.00000E-05         5.87794E+03
     3.16228E+09         3.16228E+04         1.80000E+02         1.00000E-05         1.86346E+04
     3.16228E+09         1.00000E+05         1.80000E+02         1.00000E-05         5.90171E+04
     3.16228E+09         3.16228E+05         1.80000E+02         1.00000E-05         1.86819E+05
     3.16228E+09         1.00000E+06         1.80000E+02         1.00000E-05         5.91263E+05
     3.16228E+09         3.16228E+06         1.80000E+02         1.00000E-05         1.87122E+06
     3.16228E+09         1.00000E+07         1.80000E+02         1.00000E-05         5.92103E+06
     3.16228E+09         3.16228E+07         1.80000E+02         1.00000E-05         1.87126E+07
     3.16228E+09         1.00000E+08         1.80000E+02         1.00000E-05         5.88176E+07
     3.16228E+09         3.16228E+08         1.80000E+02         1.00000E-05         1.81206E+08
     3.16228E+09         1.00000E+09         1.80000E+02         1.00000E-05         5.16039E+08
     1.00000E+04         1.00000E+04         1.80000E+02         1.00000E-04         1.25686E-09
     1.00000E+04         3.16228E+04         1.80000E+02         1.00000E-04         1.18192E-07
     1.00000E+04         1.00000E+05         1.80000E+02         1.00000E-04         4.06737E-06
     1.00000E+04         3.16228E+05         1.80000E+02         1.00000E-04         2.43664E-05
     1.00000E+04         1.00000E+06         1.80000E+02         1.00000E-04         4.03857E-05
